openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
1649462400000,42252.02000000,42272.93000000,42223.23000000,42272.92000000,51.23951000,1649462459999,2164447.79289190,1009,30.93579000,1306785.50131900,0
1649462460000,42272.93000000,42390.92000000,42269.43000000,42375.07000000,73.40783000,1649462519999,3107844.29215380,1422,49.71915000,2104582.30486050,0
1649462520000,42375.07000000,42389.06000000,42333.32000000,42352.54000000,67.94033000,1649462579999,2878468.49414540,1333,32.70638000,1385606.90107250,0
1649462580000,42352.54000000,42352.54000000,42293.69000000,42308.44000000,22.67823000,1649462639999,959810.76554270,1038,11.00229000,465645.09928090,0
1649462640000,42308.45000000,42355.22000000,42305.01000000,42338.13000000,15.55352000,1649462699999,658456.77468220,705,10.07037000,426300.52233590,0
1649462700000,42338.12000000,42348.08000000,42324.88000000,42344.62000000,19.35357000,1649462759999,819312.93356770,646,12.06092000,510573.11352580,0
1649462760000,42344.62000000,42375.20000000,42344.62000000,42366.63000000,18.79656000,1649462819999,796324.93073610,652,9.30514000,394195.81979940,0
1649462820000,42366.64000000,42375.66000000,42354.59000000,42357.43000000,10.39215000,1649462879999,440259.13526310,477,7.03396000,297988.97849440,0
1649462880000,42357.42000000,42365.18000000,42302.92000000,42310.36000000,15.97638000,1649462939999,676494.35740810,663,4.66114000,197338.83104780,0
1649462940000,42310.35000000,42310.36000000,42266.42000000,42292.65000000,22.18966000,1649462999999,938347.37707280,780,10.10031000,427066.45614570,0
1649463000000,42292.64000000,42305.02000000,42292.59000000,42296.52000000,10.71512000,1649463059999,453220.74876250,546,6.35487000,268791.90344620,0
1649463060000,42296.52000000,42338.31000000,42292.65000000,42318.62000000,10.29355000,1649463119999,435542.62238490,620,6.44598000,272723.06132090,0
1649463120000,42318.62000000,42327.19000000,42300.62000000,42311.80000000,14.59477000,1649463179999,617568.12637930,535,5.76017000,243719.29380710,0
1649463180000,42311.80000000,42374.60000000,42310.38000000,42373.93000000,11.92585000,1649463239999,504896.09200210,629,8.21720000,347830.01133880,0
1649463240000,42373.93000000,42375.69000000,42358.91000000,42375.48000000,7.22731000,1649463299999,306243.25658310,515,3.62008000,153388.89990980,0
1649463300000,42375.48000000,42375.48000000,42162.67000000,42210.21000000,113.17291000,1649463359999,4784441.04794810,2128,36.36147000,1537094.13798110,0
1649463360000,42210.20000000,42308.60000000,42160.00000000,42308.59000000,57.77922000,1649463419999,2439566.33766240,1523,33.50507000,1414482.24648000,0
1649463420000,42308.60000000,42374.40000000,42175.99000000,42238.86000000,228.43301000,1649463479999,9653316.18119940,2842,86.30102000,3646016.97350660,0
1649463480000,42238.87000000,42259.71000000,42220.00000000,42230.41000000,36.14229000,1649463539999,1526485.91429020,814,15.46113000,652934.19818500,0
1649463540000,42230.40000000,42285.20000000,42230.00000000,42278.84000000,17.72088000,1649463599999,748929.11893060,664,9.37271000,396083.55696640,0
1649463600000,42278.83000000,42278.84000000,42260.00000000,42273.90000000,10.00238000,1649463659999,422796.89602900,467,4.20082000,177566.31055090,0
1649463660000,42273.90000000,42273.90000000,42239.99000000,42240.00000000,16.21591000,1649463719999,685149.31700100,531,4.60352000,194496.80346200,0
1649463720000,42240.00000000,42264.70000000,42239.99000000,42251.69000000,12.44029000,1649463779999,525597.37072930,534,7.00199000,295803.22554910,0
1649463780000,42251.69000000,42268.82000000,42251.68000000,42265.30000000,7.20540000,1649463839999,304538.14543880,473,2.89663000,122422.85033940,0
1649463840000,42265.30000000,42285.19000000,42265.30000000,42278.83000000,8.82008000,1649463899999,372916.69974010,494,5.66878000,239671.70280380,0
1649463900000,42278.83000000,42300.00000000,42278.83000000,42299.99000000,5.82814000,1649463959999,246455.52994790,428,4.01993000,169992.03893060,0
1649463960000,42299.99000000,42337.52000000,42299.99000000,42336.18000000,12.62678000,1649464019999,534379.51420520,659,8.19653000,346839.83383290,0
1649464020000,42336.18000000,42341.74000000,42328.47000000,42339.39000000,11.03494000,1649464079999,467179.15843200,517,4.36748000,184892.47562080,0
1649464080000,42339.39000000,42341.74000000,42322.82000000,42324.57000000,21.58901000,1649464139999,913933.52599660,567,2.68135000,113500.59203200,0
1649464140000,42324.57000000,42335.09000000,42314.65000000,42335.09000000,7.17635000,1649464199999,303711.02238170,441,3.97338000,168157.06818250,0
1649464200000,42335.08000000,42335.09000000,42306.76000000,42310.56000000,7.69144000,1649464259999,325445.64550140,527,3.21220000,135908.52227240,0
1649464260000,42310.57000000,42347.16000000,42305.92000000,42347.15000000,20.02623000,1649464319999,847666.32750980,611,15.64430000,662231.60672570,0
1649464320000,42347.15000000,42347.19000000,42338.03000000,42340.81000000,9.70038000,1649464379999,410750.36281160,416,6.23815000,264144.33548250,0
1649464380000,42340.80000000,42346.44000000,42340.80000000,42344.27000000,10.38358000,1649464439999,439681.09361130,435,4.04276000,171179.66465560,0
1649464440000,42344.27000000,42371.45000000,42344.27000000,42365.09000000,13.63273000,1649464499999,577468.84820420,626,6.67729000,282831.02036950,0
1649464500000,42365.09000000,42366.02000000,42301.14000000,42304.42000000,33.51322000,1649464559999,1419265.14377180,668,4.52956000,191793.16296310,0
1649464560000,42304.42000000,42348.44000000,42304.41000000,42340.01000000,10.93421000,1649464619999,462845.35898480,554,8.45898000,358042.09902080,0
1649464620000,42340.01000000,42346.89000000,42321.37000000,42331.14000000,8.90706000,1649464679999,377093.98974930,518,4.48198000,189746.22302440,0
1649464680000,42331.14000000,42350.00000000,42320.00000000,42341.55000000,18.58080000,1649464739999,786610.35837410,477,12.73884000,539355.17212950,0
1649464740000,42341.55000000,42341.55000000,42318.32000000,42322.20000000,24.89849000,1649464799999,1053948.00749890,617,5.41345000,229141.46225490,0
1649464800000,42322.19000000,42322.20000000,42298.85000000,42319.71000000,29.18045000,1649464859999,1234643.20705560,704,5.98799000,253345.51228110,0
1649464860000,42319.71000000,42319.72000000,42302.29000000,42302.30000000,8.62166000,1649464919999,364801.13368110,393,4.47435000,189315.02470440,0
1649464920000,42302.30000000,42321.84000000,42302.29000000,42321.83000000,6.85485000,1649464979999,290035.19984290,455,3.91155000,165499.20598560,0
1649464980000,42321.83000000,42344.48000000,42305.53000000,42344.48000000,14.38215000,1649465039999,608676.04643760,532,8.23160000,348378.51229150,0
1649465040000,42344.47000000,42346.07000000,42313.07000000,42316.77000000,11.88913000,1649465099999,503332.98842920,529,4.30584000,182266.04028270,0
1649465100000,42316.76000000,42324.63000000,42306.50000000,42310.63000000,7.11867000,1649465159999,301218.01001700,461,3.50560000,148334.99324060,0
1649465160000,42310.63000000,42330.00000000,42310.63000000,42329.99000000,8.78901000,1649465219999,371936.50925580,467,5.52861000,233973.18061840,0
1649465220000,42330.00000000,42352.32000000,42329.99000000,42349.21000000,6.42765000,1649465279999,272167.09063050,453,5.32619000,225526.42796910,0
1649465280000,42349.20000000,42349.21000000,42336.56000000,42346.91000000,5.26377000,1649465339999,222890.07003460,394,3.24332000,137333.61000790,0
1649465340000,42346.90000000,42346.91000000,42345.00000000,42345.00000000,7.10324000,1649465399999,300796.01556890,374,3.15738000,133702.56390480,0
1649465400000,42345.00000000,42345.01000000,42324.56000000,42344.98000000,7.21865000,1649465459999,305623.22573520,417,3.19349000,135204.29637670,0
1649465460000,42344.98000000,42353.47000000,42334.54000000,42334.54000000,14.43543000,1649465519999,611282.04272960,467,5.31595000,225112.67180820,0
1649465520000,42334.55000000,42360.00000000,42269.11000000,42359.99000000,64.09364000,1649465579999,2711637.78823460,1168,40.44472000,1711269.44225400,0
1649465580000,42360.00000000,42413.71000000,42348.17000000,42412.26000000,39.95300000,1649465639999,1693421.43188940,1123,22.22237000,941973.45935580,0
1649465640000,42412.40000000,42432.94000000,42412.40000000,42416.19000000,17.05656000,1649465699999,723617.51330480,713,10.59597000,449507.86160440,0
1649465700000,42416.19000000,42416.20000000,42390.00000000,42411.95000000,7.50228000,1649465759999,318151.18532370,531,5.28922000,224299.89462110,0
1649465760000,42411.95000000,42432.82000000,42411.94000000,42417.38000000,16.17682000,1649465819999,686329.08869440,523,12.67260000,537646.93807830,0
1649465820000,42417.38000000,42433.39000000,42405.02000000,42433.39000000,6.57563000,1649465879999,278926.76713590,499,3.77733000,160232.78565670,0
1649465880000,42433.38000000,42448.50000000,42433.38000000,42448.50000000,10.31510000,1649465939999,437766.43881530,587,6.53061000,277156.23998050,0
1649465940000,42448.50000000,42455.66000000,42433.40000000,42435.02000000,17.39898000,1649465999999,738502.04113150,621,7.85152000,333217.77443520,0
1649466000000,42435.03000000,42435.03000000,42393.32000000,42393.32000000,19.14687000,1649466059999,812123.58562310,677,6.46143000,274007.50321880,0
1649466060000,42393.32000000,42393.33000000,42386.93000000,42387.67000000,8.12148000,1649466119999,344268.41252180,423,3.73833000,158468.70053690,0
1649466120000,42387.66000000,42394.87000000,42371.69000000,42371.70000000,13.64074000,1649466179999,578164.96650930,563,3.97291000,168384.59827700,0
1649466180000,42371.69000000,42427.86000000,42371.69000000,42419.37000000,20.79368000,1649466239999,881523.57588330,724,15.40838000,653223.68368830,0
